DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.		DATA	T. MÍN.
1/1/2003	25.3		1/2/2003	23.5		1/3/2003	25.1		1/4/2003	22.3		1/5/2003	21.5		1/6/2003	18.2		1/7/2003	16.4		1/8/2003	20		1/9/2003	19.5		1/10/2003	19.3		1/11/2003	22.1		1/12/2003	23
2/1/2003	24.5		2/2/2003	24.1		2/3/2003	24.1		2/4/2003	22.5		2/5/2003	21.3		2/6/2003	17		2/7/2003	15.2		2/8/2003	20		2/9/2003	19.1		2/10/2003	19.5		2/11/2003	20.9		2/12/2003	23.5
3/1/2003	24.9		3/2/2003	24.1		3/3/2003	23.9		3/4/2003	23.5		3/5/2003	19.9		3/6/2003	19.7		3/7/2003	15.6		3/8/2003	19		3/9/2003	18.5		3/10/2003	20.7		3/11/2003	18.6		3/12/2003	23.9
4/1/2003	24.6		4/2/2003	24.5		4/3/2003	24.5		4/4/2003	22.3		4/5/2003	17.2		4/6/2003	20.3		4/7/2003	16.2		4/8/2003	16.2		4/9/2003	17.8		4/10/2003	20.9		4/11/2003	15.6		4/12/2003	24
5/1/2003	25.5		5/2/2003	23.5		5/3/2003	24.7		5/4/2003	24.5		5/5/2003	18.3		5/6/2003	22		5/7/2003	16.8		5/8/2003	16.9		5/9/2003	16.8		5/10/2003	20.7		5/11/2003	17		5/12/2003	23.9
6/1/2003	24.5		6/2/2003	23.5		6/3/2003	24.4		6/4/2003	22.9		6/5/2003	21.3		6/6/2003	21		6/7/2003	17.4		6/8/2003	18.6		6/9/2003	15.6		6/10/2003	20.1		6/11/2003	19.5		6/12/2003	23.5
7/1/2003	24.1		7/2/2003	23.1		7/3/2003	24.1		7/4/2003	21.9		7/5/2003	20.1		7/6/2003	21.3		7/7/2003	17.4		7/8/2003	19.3		7/9/2003	19.5		7/10/2003	20.9		7/11/2003	20.5		7/12/2003	19.3
8/1/2003	22.1		8/2/2003	23.3		8/3/2003	24.1		8/4/2003	22.3		8/5/2003	17.6		8/6/2003	21.1		8/7/2003	19.7		8/8/2003	19.9		8/9/2003	18.2		8/10/2003	22.5		8/11/2003	20.5		8/12/2003	21.9
9/1/2003	22.9		9/2/2003	23.9		9/3/2003	24.1		9/4/2003	22.9		9/5/2003	14.8		9/6/2003	22.1		9/7/2003	18.5		9/8/2003	19.2		9/9/2003	18.9		9/10/2003	22.6		9/11/2003	20.9		9/12/2003	23.5
10/1/2003	24.8		10/2/2003	23.1		10/3/2003	24.5		10/4/2003	23.9		10/5/2003	17.6		10/6/2003	21.1		10/7/2003	17.2		10/8/2003	16.2		10/9/2003	19.5		10/10/2003	22.9		10/11/2003	23.3		10/12/2003	22.8
11/1/2003	23.6		11/2/2003	23.9		11/3/2003	24.5		11/4/2003	23.1		11/5/2003	18.5		11/6/2003	20.1		11/7/2003	20.1		11/8/2003	17.4		11/9/2003	18.9		11/10/2003	21.9		11/11/2003	22.9		11/12/2003	22.7
12/1/2003	25.3		12/2/2003	23		12/3/2003	24.5		12/4/2003	23.9		12/5/2003	18.3		12/6/2003	19.9		12/7/2003	16.1		12/8/2003	15.4		12/9/2003	17.4		12/10/2003	null		12/11/2003	23.3		12/12/2003	24
13/1/2003	24.9		13/2/2003	23.1		13/3/2003	26.1		13/4/2003	21.1		13/5/2003	19.7		13/6/2003	20.5		13/7/2003	16.2		13/8/2003	16.4		13/9/2003	17.8		13/10/2003	18.9		13/11/2003	22.9		13/12/2003	23.5
14/1/2003	22.9		14/2/2003	22.9		14/3/2003	25.1		14/4/2003	21.8		14/5/2003	20.2		14/6/2003	19.7		14/7/2003	16.8		14/8/2003	14.8		14/9/2003	18.2		14/10/2003	17		14/11/2003	22.9		14/12/2003	23.2
15/1/2003	23.5		15/2/2003	23.3		15/3/2003	25.1		15/4/2003	19.3		15/5/2003	20.3		15/6/2003	19.5		15/7/2003	14		15/8/2003	15.6		15/9/2003	17.6		15/10/2003	16.8		15/11/2003	21.1		15/12/2003	23.7
16/1/2003	22.9		16/2/2003	23.7		16/3/2003	24.9		16/4/2003	20.9		16/5/2003	18.7		16/6/2003	17.6		16/7/2003	14.8		16/8/2003	17.8		16/9/2003	18.9		16/10/2003	16.6		16/11/2003	20.9		16/12/2003	23.3
17/1/2003	22.6		17/2/2003	24		17/3/2003	24.8		17/4/2003	19.4		17/5/2003	19.9		17/6/2003	16		17/7/2003	15.6		17/8/2003	17.2		17/9/2003	19.8		17/10/2003	15.6		17/11/2003	22.8		17/12/2003	22.5
18/1/2003	24.5		18/2/2003	24.1		18/3/2003	23.7		18/4/2003	20.1		18/5/2003	17		18/6/2003	16.8		18/7/2003	16.6		18/8/2003	14.6		18/9/2003	18.5		18/10/2003	14.6		18/11/2003	24.9		18/12/2003	21.1
19/1/2003	22.7		19/2/2003	24.7		19/3/2003	23.6		19/4/2003	20.9		19/5/2003	18.2		19/6/2003	17.1		19/7/2003	16.9		19/8/2003	15.4		19/9/2003	18.7		19/10/2003	16.8		19/11/2003	23.9		19/12/2003	21.3
20/1/2003	23.8		20/2/2003	24.1		20/3/2003	23.5		20/4/2003	21.4		20/5/2003	22.1		20/6/2003	17.2		20/7/2003	16.8		20/8/2003	17.8		20/9/2003	19.1		20/10/2003	19.7		20/11/2003	23.1		20/12/2003	22.5
21/1/2003	23.9		21/2/2003	23.9		21/3/2003	23.4		21/4/2003	24.9		21/5/2003	20.3		21/6/2003	18.2		21/7/2003	17.2		21/8/2003	14.6		21/9/2003	17.1		21/10/2003	21.9		21/11/2003	21.3		21/12/2003	24.1
22/1/2003	23.9		22/2/2003	24.1		22/3/2003	23.7		22/4/2003	24.5		22/5/2003	20.5		22/6/2003	18.7		22/7/2003	17.4		22/8/2003	17.6		22/9/2003	17.3		22/10/2003	21.1		22/11/2003	19.6		22/12/2003	23.9
23/1/2003	24.5		23/2/2003	24.7		23/3/2003	21.7		23/4/2003	21.5		23/5/2003	20.3		23/6/2003	17.2		23/7/2003	17		23/8/2003	18.3		23/9/2003	19.5		23/10/2003	19.7		23/11/2003	21.5		23/12/2003	24.7
24/1/2003	22.9		24/2/2003	24		24/3/2003	22.3		24/4/2003	22.9		24/5/2003	22.7		24/6/2003	16.9		24/7/2003	19.1		24/8/2003	18.9		24/9/2003	19.5		24/10/2003	19.5		24/11/2003	22.7		24/12/2003	23.9
25/1/2003	23.7		25/2/2003	24.1		25/3/2003	22.2		25/4/2003	21.9		25/5/2003	21.2		25/6/2003	17.6		25/7/2003	19.5		25/8/2003	19.5		25/9/2003	21.5		25/10/2003	21.7		25/11/2003	22.9		25/12/2003	23.3
26/1/2003	23.1		26/2/2003	24.9		26/3/2003	22.3		26/4/2003	22.3		26/5/2003	15.8		26/6/2003	16.4		26/7/2003	19.3		26/8/2003	17.7		26/9/2003	20.3		26/10/2003	21.5		26/11/2003	22.7		26/12/2003	23.1
27/1/2003	25.1		27/2/2003	25.3		27/3/2003	22.3		27/4/2003	22.5		27/5/2003	16		27/6/2003	17		27/7/2003	19.1		27/8/2003	16.8		27/9/2003	22.9		27/10/2003	20.9		27/11/2003	23.3		27/12/2003	21.9
28/1/2003	24.5		28/2/2003	24.8		28/3/2003	21.1		28/4/2003	20.5		28/5/2003	20.3		28/6/2003	16.6		28/7/2003	17.8		28/8/2003	18.9		28/9/2003	21.5		28/10/2003	20.5		28/11/2003	24		28/12/2003	21.6
29/1/2003	24			23.9		29/3/2003	21.5		29/4/2003	21.3		29/5/2003	18.9		29/6/2003	16.6		29/7/2003	17.6		29/8/2003	16.8		29/9/2003	22		29/10/2003	21.9		29/11/2003	24.8		29/12/2003	22.3
30/1/2003	22.7			23.1		30/3/2003	21.3		30/4/2003	22.3		30/5/2003	19.5		30/6/2003	18.9		30/7/2003	18.3		30/8/2003	16.4		30/9/2003	null		30/10/2003	22.7		30/11/2003	23.7		30/12/2003	23.5
31/1/2003	23.3					31/3/2003	22.5			22.1833333333333		31/5/2003	17.4			18.7433333333333		31/7/2003	18.9		31/8/2003	18.8			18.9620689655172		31/10/2003	21.5			21.8033333333333		31/12/2003	23.7

